case,gen,target_latency,llm_latency,file
19,2,7.314124841690063,7.196631107330322,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case19-gen2.log
19,3,7.310028762817383,7.1963034343719485,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case19-gen3.log
20,sakana,7.329423341751099,8.616366100311279,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
20,0,7.328194580078125,7.260426292419433,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case20-gen0.log
20,1,7.330570211410523,7.177502593994141,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case20-gen1.log
20,2,7.31971586227417,7.161876535415649,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case20-gen2.log
20,3,7.318835220336914,7.159296026229859,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case20-gen3.log
21,sakana,7.25612548828125,7.294382095336914,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
21,0,7.253135414123535,7.228252191543579,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case21-gen0.log
21,1,7.239413709640503,7.214366722106933,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case21-gen1.log
21,2,7.236300764083862,7.216312313079834,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case21-gen2.log
21,3,7.236300764083862,7.216312313079834,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case21-gen3.log
22,sakana,7.261777935028076,7.233699836730957,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
22,0,7.256350765228271,7.306792964935303,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case22-gen0.log
22,1,7.255572509765625,7.248199663162231,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case22-gen1.log
22,2,7.257477188110352,7.235399627685547,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case22-gen2.log
22,3,7.257477188110352,7.235399627685547,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case22-gen3.log
23,sakana,15.176540222167969,19.541299095153807,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
23,0,15.17305850982666,5.048094720840454,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case23-gen0.log
23,1,15.169269714355469,4.02350079536438,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case23-gen1.log
23,2,15.169269714355469,4.02350079536438,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case23-gen2.log
23,3,15.169269714355469,4.02350079536438,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case23-gen3.log
24,sakana,15.085568008422852,16.016220207214356,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
24,0,15.09275650024414,14.479851531982423,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case24-gen0.log
24,1,15.08423677444458,14.473277416229248,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case24-gen1.log
24,2,15.090606117248536,12.065136623382568,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case24-gen2.log
24,3,15.090606117248536,12.065136623382568,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case24-gen3.log
25,sakana,18.04232711791992,7.975669851303101,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
25,0,18.026803283691407,7.230443563461304,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case25-gen0.log
25,1,18.031882400512696,7.2291123485565185,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case25-gen1.log
25,2,18.02524673461914,7.233658876419067,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case25-gen2.log
25,3,18.02524673461914,7.233658876419067,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case25-gen3.log
26,sakana,7.352995920181274,7.302307739257812,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
26,0,7.294525470733642,7.211069364547729,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case26-gen0.log
26,1,7.295365104675293,7.210516414642334,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case26-gen1.log
26,2,7.30581000328064,7.206174640655518,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case26-gen2.log
26,3,7.30581000328064,7.206174640655518,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case26-gen3.log
27,sakana,7.316172819137574,7.297720317840576,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
27,0,7.313817615509033,7.254261808395386,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case27-gen0.log
27,1,7.297822704315186,7.183953943252564,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case27-gen1.log
27,2,7.2989081859588625,7.182213087081909,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case27-gen2.log
27,3,7.2989081859588625,7.182213087081909,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case27-gen3.log
28,sakana,7.319429140090943,12.983070659637452,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
